symbol,sector
III.L,"Financial Services
"
ABDN.L,"Financial Services
"
ADM.L,"Nonlife Insurance
"
AAF.L,"Telecommunications
"
AAL.L,"Mining
"
ANTO.L,"Mining
"
AHT.L,"Support Services
"
ABF.L,"Food Producers
"
AZN.L,"Pharmaceuticals & Biotechnology
"
AUTO.L,"Media
"
AVST.L,"Software & Computer Services
"
AVV.L,"Software & Computer Services
"
AV.L,"Life Insurance
"
BME.L,"Retailers
"
BA.L,"Aerospace & Defence
"
BARC.L,"Banks
"
BDEV.L,"Household Goods & Home Construction
"
BKG.L,"Household Goods & Home Construction
"
BP.L,"Oil & Gas Producers
"
BATS.L,"Tobacco
"
BLND.L,"Real Estate Investment Trusts
"
BT-A.L,"Fixed Line Telecommunications
"
BNZL.L,"Support Services
"
BRBY.L,"Personal Goods
"
CCH.L,"Beverages
"
CPG.L,"Support Services
"
CRH.L,"Construction & Materials
"
CRDA.L,"Chemicals
"
DCC.L,"Support Services
"
DPH.L,"Health Care
"
DGE.L,"Beverages
"
EDV.L,"Mining
"
ENT.L,"Travel & Leisure
"
EXPN.L,"Support Services
"
FERG.L,"Support Services
"
FLTR.L,"Travel & Leisure
"
FRES.L,"Mining
"
GSK.L,"Pharmaceuticals & Biotechnology
"
GLEN.L,"Mining
"
HLMA.L,"Electronic & Electrical Equipment
"
HL.L,"Financial Services
"
HIK.L,"Pharmaceuticals & Biotechnology
"
HWDN.L,"Home Improvement Retailers
"
HSBA.L,"Banks
"
IHG.L,"Travel & Leisure
"
IMB.L,"Tobacco
"
INF.L,"Media
"
ICP.L,"Investment Services
"
IAG.L,"Travel & Leisure
"
ITRK.L,"Support Services
"
ITV.L,"Media
"
JD.L,"General Retailers
"
KGF.L,"Retailers
"
LAND.L,"Real Estate Investment Trusts
"
LGEN.L,"Life Insurance
"
LLOY.L,"Banks
"
LSEG.L,"Financial Services
"
MNG.L,"Asset Managers
"
MGGT.L,"Aerospace & Defence
"
MRO.L,"Automobiles & Parts
"
MNDI.L,"Forestry & Paper
"
NG.L,"Gas, Water & Multi-utilities
"
NWG.L,"Banks
"
NXT.L,"General Retailers
"
OCDO.L,"Food & Drug Retailers
"
PSON.L,"Media
"
PSH.L,"Financial Services
"
PSN.L,"Household Goods & Home Construction
"
PHNX.L,"Life Insurance
"
PRU.L,"Life Insurance
"
RKT.L,"Household Goods & Home Construction
"
REL.L,"Media
"
RTO.L,"Support Services
"
RMV.L,"Media
"
RIO.L,"Mining
"
RR.L,"Aerospace & Defence
"
RMG.L,"Industrial Transportation
"
RS.L,"Industrials
"
SGE.L,"Software & Computer Services
"
SBRY.L,"Food & Drug Retailers
"
SDR.L,"Financial Services
"
SMT.L,"Equity Investment Instruments
"
SGRO.L,"Real Estate Investment Trusts
"
SVT.L,"Gas, Water & Multi-utilities
"
SHEL.L,"Oil & Gas Producers
"
SMDS.L,"General Industrials
"
SMIN.L,"General Industrials
"
SN.L,"Health Care Equipment & Services
"
SKG.L,"General Industrials
"
SPX.L,"Industrial Engineering
"
SSE.L,"Electricity
"
STAN.L,"Banks
"
STJ.L,"Financial Services
"
TW.L,"Household Goods & Home Construction
"
TSCO.L,"Food & Drug Retailers
"
ULVR.L,"Personal Goods
"
UU.L,"Gas, Water & Multi-utilities
"
VOD.L,"Mobile Telecommunications
"
WTB.L,"Retail hospitality
"
WPP.L,"Media
"
